Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
QMobile,CS1,CS1,2899MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
QMobile,X32,X32,969MB,Phone,Mediatek MT6580,480x800,240,armeabi-v7a;armeabi,23,2.0
QMobile,X32,X32_new,963MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,23,2.0
QMobile,LT500 PRO,QMobile_LT500_PRO,933MB,Phone,Mediatek MT6737M,480x854,240,armeabi-v7a;armeabi,24,3.1
QMobile,Q Infinity D,Q_Infinity_D,903MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
QMobile,Evok Power Lite,Evok_Power_Lite,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
QMobile,Z14,Z14,3811MB,Phone,Mediatek MT6735M,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
QMobile,Evok Power,QMobile_Evok_Power,1910MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
QMobile,J7,J7,2930MB,Phone,Mediatek MT6753,1280x720,320,armeabi-v7a;armeabi,23,3.0
QMobile,LT650,LT650,919MB,Phone,Mediatek MT6735,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
QMobile,CS1 Plus,CS1_Plus,2899MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
QMobile,M6,BBL7551QM,3824MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
QMobile,X700 PRO Lite,X700_PRO_Lite,969MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,23,2.0
QMobile,Noir S9,QMobile_Noir_S9,1910MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
QMobile,X700 PRO II,X700_PRO_II,1984MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,23,2.0
QMobile,i8i 2019,i8i_2019,957MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
QMobile,M350 Pro,M350_Pro,1972MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
QMobile,V2 2018,V2_2018,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
QMobile,A1,QMobile_Noir_A1,3804MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
QMobile,i5.5,i5_5,953MB,Phone,Spreadtrum SC7731G,720x1280,320,armeabi-v7a;armeabi,23,2.0
QMobile,GLi 2020,GLi_2020,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
QMobile,A1 lite,Noir_A1_lite,2893MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
QMobile,V200,QTab_V200,1972MB,Phone,Mediatek MT8321,800x1280,240,armeabi-v7a;armeabi,24,2.0
QMobile,Z9 Plus,WBL7511QM,1928MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
QMobile,i8i PRO,i8i_PRO,925MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,24,2.0
QMobile,i8i_Pro_Ⅱ,i8i_Pro_II,890MB,Phone,Spreadtrum SC7731,480x960,240,armeabi-v7a;armeabi,27,3.2
QMobile,ENERGY X2,ENERGY_X2,1975MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
QMobile,Dual One,QMobile_Dual_One,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
QMobile,Q Infinity E Lite,Q_Infinity_E_Lite,963MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,24,2.0
QMobile,J1,J1,909MB,Phone,Mediatek MT6737,480x854,240,armeabi-v7a;armeabi,24,3.1
QMobile,V100,QTab_V100,1980MB,Tablet,Mediatek MT8321,1024x600,160,armeabi-v7a;armeabi,23,2.0
QMobile,J7 PRO,J7_PRO,2921MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
QMobile,Energy X10 4G,Energy_X10_4G,902MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
QMobile,W70,W70,968MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,22,2.0
QMobile,GLi Lite,GLi_Lite,922MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,28,3.2
QMobile,X36,QMobile_X36,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
QMobile,Fire,Fire,1919MB,Phone,Spreadtrum SC7731E,720x1440,320,armeabi-v7a;armeabi,27,3.2
QMobile,V500,QTab_V500,1917MB,Tablet,Mediatek MT8735,800x1280,160,armeabi-v7a;armeabi,24,3.1
QMobile,i6 Metal ONE,i6_Metal_ONE,969MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,23,2.0
QMobile,i6 Metal One,i6_Metal_ONE_new,963MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,23,2.0
QMobile,i5i 2019,i5i_2019,957MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
QMobile,Q Infinity Cinema,Q_Infinity_Cinema,1925MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,27,2.0
QMobile,S6S,QMobile_S6S,1972MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
QMobile,E2,E2_Noir,2874MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
QMobile,QMobile S15,S15,2898MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
QMobile,LT700,GBL7325QM,2942MB,Phone,Mediatek MT6735,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,21,3.0
QMobile,S4,QMobile_S4,1972MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
QMobile,JazzX JS7 PRO,JS7_PRO,963MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,23,2.0
QMobile,i6 Metal 2018,i6_Metal_2018,957MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
QMobile,Phantom_P1_Pro,Phantom_P1_Pro,2807MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
QMobile,Z12,CBL7521QM,2935MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
QMobile,W80,WBW5615QM,960MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,22,2.0
QMobile,LT680,QMobile_LT680,1929MB,Phone,Mediatek MT6735P,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
